code,name
1,Transporte marítimo
2,Transporte por ferrocarril
3,Transporte por carretera
4,Transporte por vía aérea
5,Envíos postales
7,Instalaciones fijas de transporte (oleoductos, gaseoductos, red eléctrica, etc.)
8,Transporte por navegación interior
9,Propulsión propia
